2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
21160,Heathcote,2962,915,VIC,239
21161,Heathcote Junction,811,958,VIC,708
21162,Heathcote South,22,1000,VIC,1397
21163,Heatherton,2826,1059,VIC,2313
21164,Heathmere,238,923,VIC,289
21165,Heathmont,9933,1076,VIC,2496
21166,Hedley,108,928,VIC,332
21167,Heidelberg,7360,1119,VIC,2721
21168,Heidelberg Heights,6758,1078,VIC,2506
21169,Heidelberg West,5252,1002,VIC,1429
21170,Hensley Park,75,1071,VIC,2444
21171,Henty,75,999,VIC,1364
21172,Hepburn,631,1000,VIC,1401
21173,Hepburn Springs,368,1092,VIC,2597
21174,Herne Hill,3507,998,VIC,1350
21175,Hernes Oak,365,972,VIC,931
21176,Hesket,178,1095,VIC,2632
21177,Hesse,14,1043,VIC,2107
21178,Hexham,130,1109,VIC,2689
21179,Heyfield,2050,861,VIC,30
21180,Heytesbury Lower,39,1010,VIC,1592
21181,Heywood,1815,869,VIC,48
21182,Hiamdale,36,947,VIC,546
21183,Hiawatha,18,972,VIC,927
21184,High Camp,122,1018,VIC,1710
21185,Highett,12016,1101,VIC,2665
21186,Highlands,151,1061,VIC,2349
21187,Highton,20736,1074,VIC,2483
21188,Hilgay,29,1008,VIC,1535
21189,Hill End,171,984,VIC,1075
21190,Hillcrest,99,948,VIC,555
21191,Hilldene,330,950,VIC,575
21192,Hillside (East Gippsland - Vic.),290,944,VIC,520
21193,Hillside (Melton - Vic.),17331,981,VIC,1034
21194,Hinnomunjie,21,967,VIC,864
21195,Hmas Cerberus,1124,1112,VIC,2698
21196,Hoddles Creek,676,971,VIC,908
21197,Hollands Landing,28,1019,VIC,1724
21198,Homebush,31,972,VIC,921
21199,Homerton,36,1036,VIC,2020
21200,Homewood,70,1007,VIC,1524
21201,Hopetoun,694,941,VIC,463
21202,Hopetoun Park,914,926,VIC,315
21203,Hoppers Crossing,37216,943,VIC,479
21204,Hordern Vale,44,1050,VIC,2194
21205,Horfield,93,985,VIC,1086
21206,Horsham,15134,938,VIC,423
21207,Hotham Heights,128,981,VIC,1037
21208,Hotspur,34,957,VIC,686
21209,Howes Creek,67,939,VIC,437
21211,Howqua,158,1000,VIC,1383
21213,Howqua Inlet,63,1000,VIC,1384
21214,Hughesdale,7563,1099,VIC,2653
21215,Humevale,352,994,VIC,1267
21216,Hunter,23,994,VIC,1297
21217,Hunterston,20,889,VIC,101
21218,Huntingdale,1949,1072,VIC,2460
21219,Huntly,3585,944,VIC,511
21220,Huntly North,46,952,VIC,628
21221,Huon,206,998,VIC,1358
